category,technique,question_it_answers,data_structure,r_entry_point,python_entry_point,sql_role
Data audit,Data profiling,What is in this dataset and what is missing,One table with any columns,profile_data,profile_data,profile tables
Data audit,Missingness analysis,Which variables and groups have missing values,One table with nullable fields,profile_data,missingness_profile,null counts by column
Data audit,Outlier screening,Which rows are extreme or influential,Numeric variables by row,influence_summary,outlier_profile,quantiles and z scores
Data audit,Data dictionary,What does each field mean and how should it be typed,Metadata table plus source data,data_dictionary,data_dictionary,catalog tables
Descriptive statistics,Summary statistics,What are the center spread and shape of numeric variables,Numeric columns,numeric_profile,describe_numeric,aggregate summaries
Descriptive statistics,Frequency tables,How often do categories occur,Categorical columns,table,frequency_table,group by counts
Descriptive statistics,Cross-tabulation,How do two categorical variables overlap,Two categorical variables,xtabs,crosstab,group by pivot source
Descriptive statistics,Standardization,How do values compare on a common scale,Numeric columns,scale,standardize,computed z scores
Association,Pearson correlation,How strongly are numeric variables linearly related,Two or more numeric variables,cor,pearson_corr,corr aggregate
Association,Spearman correlation,How strongly are numeric ranks related,Two or more numeric variables,cor method spearman,spearman_corr,rank then corr
Association,Covariance matrix,How do numeric variables vary together,Numeric matrix,cov,covariance_matrix,covar aggregate where available
Association,Partial correlation,How are two variables related after controls,Numeric variables with controls,ppcor or residual method,partial_corr,residualize in CTEs
Statistical inference,One-sample t-test,Is a sample mean different from a reference value,Numeric outcome,t.test,ttest_1samp,summary inputs for test
Statistical inference,Two-sample t-test,Do two groups differ in mean outcome,Numeric outcome plus two groups,t.test,ttest_ind,group means and variances
Statistical inference,Paired t-test,Do paired measurements differ,Two numeric measures per unit,t.test paired,ttest_rel,difference summary
Statistical inference,Wilcoxon signed-rank test,Do paired nonnormal measurements differ,Two paired numeric measures,wilcox.test paired,wilcoxon,difference ranks
Statistical inference,Mann-Whitney U test,Do two independent groups differ without normality,Numeric outcome plus two groups,wilcox.test,ranksums,rank table
Statistical inference,Chi-square test of independence,Are two categorical variables independent,Contingency table,chisq.test,chi2_contingency,contingency counts
Statistical inference,Fisher exact test,Are two binary categorical variables associated with small counts,2 by 2 table,fisher.test,fisher_exact,contingency counts
