"name","package","model_family","suggested_target","notes","rows","columns","file"
"mtcars","datasets","linear","mpg","Multiple linear regression and VIF demonstration.",32,11,"r-builtins/mtcars.csv"
"cars","datasets","linear","dist","Simple linear regression.",50,2,"r-builtins/cars.csv"
"iris","datasets","classification","Species","Multiclass classification and multivariate analysis.",150,5,"r-builtins/iris.csv"
"airquality","datasets","linear","Ozone","Missingness, nonlinear effects, and weather regression.",153,6,"r-builtins/airquality.csv"
"ChickWeight","datasets","mixed effects","weight","Repeated-measures growth data.",578,4,"r-builtins/ChickWeight.csv"
"ToothGrowth","datasets","ANOVA/GLM","len","Two-factor design and interactions.",60,3,"r-builtins/ToothGrowth.csv"
"PlantGrowth","datasets","ANOVA","weight","One-way ANOVA and treatment comparisons.",30,2,"r-builtins/PlantGrowth.csv"
"CO2","datasets","mixed effects","uptake","Grouped regression with repeated plants.",84,5,"r-builtins/CO2.csv"
"Orange","datasets","nonlinear/mixed","circumference","Growth curve and nonlinear modeling.",35,3,"r-builtins/Orange.csv"
"warpbreaks","datasets","count","breaks","Count model with factors.",54,3,"r-builtins/warpbreaks.csv"
"infert","datasets","logistic","case","Binary outcome and matched case-control context.",248,8,"r-builtins/infert.csv"
"Titanic","datasets","classification","Survived","Contingency table and classification from counts.",32,5,"r-builtins/Titanic.csv"
"USArrests","datasets","dimension reduction","Murder","PCA and multivariate examples.",50,4,"r-builtins/USArrests.csv"
"state.x77","datasets","panel/cross-section","Life Exp","State-level indicators from matrix data.",50,9,"r-builtins/state_x77.csv"
"longley","datasets","collinearity demo","Employed","Classic multicollinearity dataset.",16,7,"r-builtins/longley.csv"
"LifeCycleSavings","datasets","linear","sr","Savings regression example.",50,5,"r-builtins/LifeCycleSavings.csv"
"Seatbelts","datasets","time series","DriversKilled","Time-series intervention and counts.",192,10,"r-builtins/Seatbelts.csv"
"sleep","datasets","paired test","extra","Paired comparison example.",20,3,"r-builtins/sleep.csv"
"esoph","datasets","count/logistic","ncases","Grouped count data.",88,5,"r-builtins/esoph.csv"
"VADeaths","datasets","table/count","Freq","Table count data.",5,5,"r-builtins/VADeaths.csv"
"Puromycin","datasets","nonlinear","rate","Nonlinear enzyme kinetics.",23,3,"r-builtins/Puromycin.csv"
"AirPassengers","datasets","time series","passengers","Seasonal time series.",144,3,"r-builtins/AirPassengers.csv"
"Nile","datasets","time series","flow","Annual flow time series.",100,3,"r-builtins/Nile.csv"
"LakeHuron","datasets","time series","level","Annual lake level time series.",98,3,"r-builtins/LakeHuron.csv"
"pressure","datasets","nonlinear","pressure","Nonlinear relationship.",19,2,"r-builtins/pressure.csv"
"stackloss","datasets","robust regression","stack.loss","Outlier and robust regression example.",21,4,"r-builtins/stackloss.csv"
