"id","model","data","question","r_model","visual","checks","key_parameters"
"linear-regression","Simple linear regression","mtcars","How does one numeric predictor relate to a continuous target?","lm(mpg ~ wt, data = mtcars)","assets/regression-visuals/linear-regression.png","Linearity, residual spread, leverage, outliers.","Slope, intercept, residual standard error, R-squared."
"multiple-regression","Multiple linear regression","mtcars","How do several predictors explain a continuous target?","lm(mpg ~ wt + hp + disp, data = mtcars)","assets/regression-visuals/multiple-regression.png","VIF, condition number, heteroskedasticity, influence.","Coefficients, adjusted R-squared, RMSE."
"polynomial-regression","Polynomial regression","cars","Is the relationship curved but still explainable?","lm(dist ~ speed + I(speed^2), data = cars)","assets/regression-visuals/polynomial-regression.png","Residual curvature, extrapolation risk, overfit.","Polynomial degree, centered predictors."
"spline-regression","Spline regression","mtcars","Does the effect bend without a simple polynomial shape?","lm(mpg ~ splines::ns(wt, df = 3), data = mtcars)","assets/regression-visuals/spline-regression.png","Boundary behavior, degrees of freedom, residual pattern.","Knots, basis dimension, smoothness."
"interaction-model","Interaction regression","ToothGrowth","Does one predictor's effect change by group?","lm(len ~ supp * dose, data = ToothGrowth)","assets/regression-visuals/interaction-model.png","Cell counts, centering, hierarchy, simple slopes.","Main effects, interaction coefficient."
"logistic-regression","Logistic regression","mtcars","What predicts a yes/no outcome?","glm(am ~ mpg + wt, data = mtcars, family = binomial())","assets/regression-visuals/logistic-regression.png","Class balance, separation, calibration, threshold.","Odds ratio, logit link, predicted probability."
"probit-regression","Probit regression","mtcars","Is a latent normal threshold model preferred?","glm(am ~ mpg + wt, data = mtcars, family = binomial(link = 'probit'))","assets/regression-visuals/probit-regression.png","Separation, calibration, marginal effects.","Latent z-score scale, normal link."
"poisson-regression","Poisson regression","warpbreaks","What predicts event counts?","glm(breaks ~ wool + tension, data = warpbreaks, family = poisson())","assets/regression-visuals/poisson-regression.png","Overdispersion, exposure, zero inflation, independence.","Rate, log link, mean equals variance assumption."
"negative-binomial-regression","Negative binomial regression","warpbreaks","What predicts counts when variance is larger than the mean?","MASS::glm.nb(breaks ~ wool + tension, data = warpbreaks)","assets/regression-visuals/negative-binomial-regression.png","Overdispersion, fitted zero rate, residual deviance.","Mean, dispersion/theta, log link."
"gamma-regression","Gamma regression","mtcars","Is the continuous target positive and right-skewed?","glm(mpg ~ wt + hp, data = mtcars, family = Gamma(link = 'log'))","assets/regression-visuals/gamma-regression.png","Positive target, residual shape, link fit.","Mean model, scale, log link."
"robust-regression","Robust regression","mtcars","Should outliers have less influence on the fitted line?","MASS::rlm(mpg ~ wt, data = mtcars)","assets/regression-visuals/robust-regression.png","Outliers, leverage, sensitivity to influential rows.","Loss function, robustness weights."
"ridge-regression","Ridge regression","mtcars","Are predictors correlated but still useful?","MASS::lm.ridge(mpg ~ wt + hp + disp + qsec, data = mtcars)","assets/regression-visuals/ridge-regression.png","Scaling, collinearity, validation error.","Lambda shrinkage penalty."
"mixed-effects-regression","Mixed-effects regression","ChickWeight","Do rows repeat inside subjects, stores, schools, or teams?","nlme::lme(weight ~ Time + Diet, random = ~ 1 | Chick, data = ChickWeight)","assets/regression-visuals/mixed-effects-regression.png","Cluster sizes, random-effect variance, residual dependence.","Fixed effects, random intercept/slope, group variance."
"fixed-effects-regression","Fixed-effects regression","CO2","Do repeated entities need their own baseline level?","lm(uptake ~ conc + factor(Plant), data = CO2)","assets/regression-visuals/fixed-effects-regression.png","Within-entity variation, serial dependence, omitted time effects.","Entity indicators, within effect."
"cox-regression","Cox proportional hazards","survival::lung","What predicts time until an event with censoring?","survival::coxph(Surv(time, status) ~ sex + age, data = survival::lung)","assets/regression-visuals/cox-regression.png","Censoring, proportional hazards, influential subjects.","Hazard ratio, baseline hazard."
"time-series-regression","Time-series regression","AirPassengers","Does a time-indexed target need trend and seasonality?","lm(log(AirPassengers) ~ time + month)","assets/regression-visuals/time-series-regression.png","Autocorrelation, seasonality, time split, stationarity.","Trend, seasonal effects, transformed target."
"tree-regression","Decision tree regression","mtcars","Are simple nonlinear rules useful for prediction?","rpart::rpart(mpg ~ wt + hp + disp, data = mtcars, method = 'anova')","assets/regression-visuals/tree-regression.png","Depth, leaf size, pruning, overfit gap.","Splits, complexity parameter, terminal-node mean."
"multinomial-regression","Multinomial logistic regression","iris","What predicts a categorical target with more than two unordered classes?","nnet::multinom(Species ~ Sepal.Length + Sepal.Width, data = iris)","assets/regression-visuals/multinomial-regression.png","Class balance, separation, confusion matrix.","Class logits, reference class, predicted class probability."
