"area","technique","when_to_use","data_needed","key_parameters","statistical_checks","r_entry","python_entry","sql_role"
"Validation design","Train/validation/test split","You need a simple holdout estimate before cross-validation.","One row per observation with target and predictors.","test_size, validation_size, random_seed, stratify_column","Leakage, target balance, time ordering, grouped rows.","sample, caret::createDataPartition","train_test_split","Create split labels and persist them."
"Validation design","K-fold cross-validation","Rows are independent enough to rotate train/test folds.","Target, predictors, fold id or random seed.","k, shuffle, seed, metric","Fold balance, leakage, grouped dependence.","caret::trainControl, rsample::vfold_cv","KFold, cross_val_score","Assign fold_id with window functions."
"Validation design","Repeated cross-validation","A single CV split is too noisy for the decision.","Target, predictors, repeated fold ids.","k, repeats, seed, metric","Metric variance, fold representativeness.","caret::trainControl(method='repeatedcv')","RepeatedKFold","Store repeat_id and fold_id."
"Validation design","Nested cross-validation","You need an unbiased estimate after tuning many candidates.","Outer folds and inner tuning folds.","outer_k, inner_k, search_space, metric","Overfitting to validation data, sample size.","rsample, caret nested resampling","GridSearchCV inside cross_validate","Store outer_fold and inner_fold."
"Validation design","Time-series validation","The model predicts future periods from past periods.","Timestamped rows, target, predictors known at prediction time.","initial_window, horizon, step, gap","Temporal leakage, seasonality, autocorrelation.","rsample::rolling_origin, forecast::tsCV","TimeSeriesSplit","Create ordered rolling windows."
"Validation design","Grouped cross-validation","Rows repeat inside people, stores, schools, customers, teams, or geographies.","Group id, target, predictors.","group_column, k, metric","Group leakage, cluster size imbalance.","groupdata2, rsample::group_vfold_cv","GroupKFold, StratifiedGroupKFold","Assign folds by group id."
"Validation design","Bootstrap validation","Sample size is small or uncertainty in the metric matters.","Target, predictors, bootstrap ids.","resamples, statistic, confidence_level","Independence, influential rows, optimism.","boot, rsample::bootstraps","sklearn.utils.resample","Create bootstrap sample ids."
"Baseline","Intercept-only or majority baseline","Every tuned model needs a naive benchmark.","Target only.","mean_target, class_rate, seasonal_naive","Class balance, target variance.","lm(target ~ 1), glm(target ~ 1)","DummyRegressor, DummyClassifier","Aggregate target by split."
"Baseline","Transparent GLM baseline","You need an interpretable comparison before ML.","Target, predictors, family/link.","family, link, robust_se","Collinearity, heteroskedasticity, outliers, residual shape.","lm, glm","statsmodels OLS/GLM","Prepare clean modeling table."
"Feature selection","Forward stepwise selection","You want a smaller formula from a large candidate set.","Target, candidate predictors, hierarchy rules.","scope, criterion, entry_rule","Multiple testing, hierarchy, collinearity, validation gap.","step(direction='forward'), MASS::stepAIC","custom AIC loop with statsmodels","Store candidate feature sets."
"Feature selection","Backward stepwise selection","You want to remove weak terms from a full model.","Target, full predictor set.","scope, criterion, removal_rule","Collinearity, sample size per term, hierarchy.","step(direction='backward'), MASS::stepAIC","custom AIC loop with statsmodels","Store selected terms."
"Feature selection","Both-direction stepwise selection","You want forward and backward moves using AIC or BIC.","Target, lower and upper formulas.","direction, k for AIC/BIC","Instability across folds, omitted variables.","step(direction='both')","custom stepwise_aic","Store final formula."
"Feature selection","Best subsets regression","You can afford exhaustive subset search for a small predictor set.","Continuous target, modest predictor count.","max_predictors, criterion","Search multiplicity, adjusted R2, validation metric.","leaps::regsubsets","mlxtend SequentialFeatureSelector","Store subset id and terms."
"Regularization","Ridge regression","Predictors are correlated or many weak predictors matter.","Numeric model matrix, continuous or binary target.","alpha=0, lambda, standardize","Collinearity, scaling, validation error.","glmnet(alpha=0)","Ridge, RidgeCV","Standardize inputs before export."
"Regularization","Lasso regression","You want embedded feature selection with shrinkage.","Numeric model matrix, target.","alpha=1, lambda, standardize","Feature stability, correlated substitutes.","glmnet(alpha=1)","Lasso, LassoCV","Track selected features."
"Regularization","Elastic net","You want feature selection but predictors are correlated.","Numeric model matrix, target.","alpha, lambda, l1_ratio","Scaling, stability across folds.","glmnet(alpha between 0 and 1)","ElasticNetCV","Track alpha and lambda."
"Regularization","Regularized logistic regression","You need probability modeling with many predictors.","Binary target, model matrix.","penalty, C/lambda, class_weight","Class imbalance, calibration, threshold choice.","glmnet family='binomial'","LogisticRegressionCV","Create balanced folds and class rates."
"Tree models","Decision tree regression","You need interpretable nonlinear splits for a continuous target.","Continuous target, predictors with possible nonlinear effects.","max_depth, min_samples_leaf, cp, minsplit","Overfit gap, leaf size, monotonic plausibility.","rpart(method='anova')","DecisionTreeRegressor","Prepare features and record tree rules."
"Tree models","Decision tree classification","You need interpretable nonlinear splits for a categorical target.","Categorical or binary target, predictors.","max_depth, min_samples_leaf, cp, class_weight","Class balance, calibration, confusion matrix.","rpart(method='class')","DecisionTreeClassifier","Prepare target and class summaries."
"Tree models","Cost-complexity pruning","A tree is too deep or unstable.","Fitted tree with validation folds.","cp, ccp_alpha, minbucket","Validation curve, leaf count, rule stability.","rpart::printcp, prune","cost_complexity_pruning_path","Store pruning path metrics."
"Ensembles","Bagging","One tree is unstable and variance is high.","Target, predictors, bootstrap samples.","n_estimators, max_features, bootstrap","Out-of-bag error, overfit gap.","ipred::bagging, randomForest mtry=all","BaggingRegressor, BaggingClassifier","Store bootstrap seeds."
"Ensembles","Random forest","You need a strong nonlinear benchmark with limited tuning.","Target, predictors, enough rows for trees.","ntree/n_estimators, mtry/max_features, min_node_size","OOB error, variable importance bias, grouped leakage.","ranger, randomForest","RandomForestRegressor, RandomForestClassifier","Persist split/fold tables."
"Ensembles","Extremely randomized trees","You want lower variance and faster randomized split selection.","Target, predictors.","n_estimators, max_features, min_samples_leaf","Overfit gap, feature importance stability.","extraTrees package","ExtraTreesRegressor, ExtraTreesClassifier","Same as random forest."
"Boosting","Gradient boosting machines","You need high predictive accuracy with careful tuning.","Target, predictors, validation folds.","n_estimators, learning_rate, max_depth, subsample","Early stopping, overfit gap, calibration.","gbm, h2o.gbm","GradientBoostingRegressor, HistGradientBoosting","Store tuning result table."
"Boosting","XGBoost","You need strong tabular prediction with regularization and early stopping.","Numeric matrix, target, train/validation folds.","eta, max_depth, min_child_weight, subsample, colsample_bytree, lambda, alpha, nrounds","Leakage, early stopping split, class imbalance, calibration.","xgboost::xgb.cv, xgb.train","xgboost.XGBRegressor, XGBClassifier","Export feature matrix and fold ids."
"Boosting","LightGBM","You need fast gradient boosting for large tabular data.","Feature matrix, target, categorical handling plan.","num_leaves, learning_rate, feature_fraction, bagging_fraction","Leaf size, leakage, categorical encoding.","lightgbm package","lightgbm.LGBMRegressor, LGBMClassifier","Export features and categories."
"Boosting","CatBoost","You need boosting with many categorical predictors.","Target, predictors, categorical column list.","depth, learning_rate, l2_leaf_reg, iterations","Target leakage in encoding, validation design.","catboost package","CatBoostRegressor, CatBoostClassifier","Declare categorical metadata."
"Boosting","AdaBoost","You need a boosted weak-learner baseline.","Target, predictors, weak learner.","n_estimators, learning_rate, base_estimator_depth","Outliers, noisy labels, class imbalance.","fastAdaboost","AdaBoostRegressor, AdaBoostClassifier","Prepare clean labels."
"Nonlinear regression","GAM and spline tuning","Relationships are smooth and nonlinear but should remain interpretable.","Target, predictors, smooth terms.","basis_dimension, smoothing_parameter, spline_knots","Residual curves, concurvity, extrapolation.","mgcv::gam","pyGAM, patsy splines with statsmodels","Create spline basis columns if needed."
"Nonlinear regression","MARS","You need automatic hinge functions and interactions.","Continuous or binary target, predictors.","degree, nprune, penalty","Overfit gap, interaction plausibility.","earth","pyearth","Store hinge features when exported."
"Distance models","k-nearest neighbors","Local similarity should drive prediction.","Scaled numeric predictors, target.","k, distance_metric, weights","Scaling, curse of dimensionality, leakage.","class::knn, caret::train(method='knn')","KNeighborsRegressor, KNeighborsClassifier","Standardize features before export."
"Margin models","Support vector machine","You need nonlinear boundaries or robust margin models.","Scaled numeric predictors, target.","kernel, C, gamma, epsilon","Scaling, class imbalance, validation cost.","e1071::svm, kernlab","SVR, SVC","Prepare scaled feature table."
"Probabilistic classifiers","Naive Bayes","You need a fast probabilistic text or categorical baseline.","Categorical/text features or binned numeric features.","smoothing, feature encoding","Calibration, correlated features, class priors.","e1071::naiveBayes","MultinomialNB, GaussianNB","Build counts or encoded features."
"Neural networks","Multilayer perceptron","You have nonlinear signal and enough data to tune carefully.","Scaled features, target, validation split.","hidden_units, activation, alpha, learning_rate","Overfit gap, scaling, early stopping.","nnet, keras","MLPRegressor, MLPClassifier","Export scaled model matrix."
"Dimension reduction","Principal component regression","Predictors are many and collinear.","Numeric predictors, continuous target.","n_components, scaling","Explained variance, validation RMSE, interpretability loss.","pls::pcr","PCA plus LinearRegression","Create PCA input table."
"Dimension reduction","Partial least squares","You want supervised components for correlated predictors.","Numeric predictors and continuous target.","n_components, scaling","Validation RMSE, component stability.","pls::plsr","PLSRegression","Create clean numeric matrix."
"Feature engineering","Filter feature selection","You need quick screening before heavier models.","Target and many candidate predictors.","correlation_threshold, variance_threshold, mutual_information","Univariate bias, leakage, multiple comparisons.","caret::nearZeroVar, cor","VarianceThreshold, SelectKBest","Compute feature summary table."
"Feature engineering","Recursive feature elimination","You want wrapper-based feature selection.","Target, predictors, estimator, folds.","step, min_features_to_select, metric","Compute cost, stability across folds.","caret::rfe","RFECV","Store selected feature set per fold."
"Feature engineering","Categorical encoding tuning","Categorical predictors need usable model inputs.","Categorical columns, target, train/test split.","one_hot, rare_level_threshold, target_encoding","Target leakage, rare categories.","model.matrix, recipes::step_dummy","OneHotEncoder, TargetEncoder","Create encoding dictionary."
"Feature engineering","Missing-value strategy tuning","Missingness is informative or large enough to affect fit.","Missingness profile, target, predictors.","imputation_method, missing_indicator","Missing-not-at-random risk, leakage.","mice, recipes::step_impute_*","SimpleImputer, IterativeImputer","Profile missingness by split."
"Feature engineering","Target transformation","Target is skewed, bounded, or multiplicative.","Continuous positive target or bounded rate.","log, Box-Cox, Yeo-Johnson","Residual shape, back-transform bias.","MASS::boxcox, log1p","TransformedTargetRegressor","Store transformed and raw target."
"Feature engineering","Interaction search","Domain effects are conditional on another predictor.","Target, candidate interactions, hierarchy rules.","interaction_terms, max_degree","Collinearity, hierarchy, multiple testing.","formula interactions, step","PolynomialFeatures, custom terms","Create interaction columns."
"Imbalance","Class weights","False negatives and false positives have unequal cost or classes are imbalanced.","Binary or multiclass target, class counts.","class_weight, scale_pos_weight","Precision-recall, calibration, threshold.","glm weights, ranger class.weights","class_weight, scale_pos_weight","Compute class counts and weights."
